INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data
INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data/index/
INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data/index/
INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/pds/data/index
INFO  - 2013-06-26 16:31:25.593; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/jpadams/Documents/workspace/pds4-workspace/search/search-service/search-service-1.3.0-dev/experimental/data/index
INFO  - 2013-06-26 16:31:25.600; org.apache.solr.core.SolrCore; created xslt: gov.nasa.pds.search.XSLTResponseWriter
INFO  - 2013-06-26 16:31:25.600; org.apache.solr.core.SolrCore; created xslt: gov.nasa.pds.search.XSLTResponseWriter
INFO  - 2013-06-26 16:31:25.600; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-06-26 16:31:25.601; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-06-26 16:31:25.667; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-06-26 16:31:25.667; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2013-06-26 16:31:25.667; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-06-26 16:31:25.667; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.ReplicationHandler
INFO  - 2013-06-26 16:31:25.668; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-06-26 16:31:25.668; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-06-26 16:31:25.670; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
INFO  - 2013-06-26 16:31:25.670; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:31:25.670; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-06-26 16:31:25.670; org.apache.solr.core.RequestHandlers; created standard: solr.StandardRequestHandler
